movieId,imdbId,tmdbId,imdb_link,poster_image
1,114709,862.0,https://www.imdb.com/title/tt0114709,114709.jpg
2,113497,8844.0,https://www.imdb.com/title/tt0113497,113497.jpg
3,113228,15602.0,https://www.imdb.com/title/tt0113228,113228.jpg
4,114885,31357.0,https://www.imdb.com/title/tt0114885,114885.jpg
5,113041,11862.0,https://www.imdb.com/title/tt0113041,113041.jpg
6,113277,949.0,https://www.imdb.com/title/tt0113277,113277.jpg
7,114319,11860.0,https://www.imdb.com/title/tt0114319,114319.jpg
8,112302,45325.0,https://www.imdb.com/title/tt0112302,112302.jpg
9,114576,9091.0,https://www.imdb.com/title/tt0114576,114576.jpg
10,113189,710.0,https://www.imdb.com/title/tt0113189,113189.jpg
11,112346,9087.0,https://www.imdb.com/title/tt0112346,112346.jpg
12,112896,12110.0,https://www.imdb.com/title/tt0112896,112896.jpg
13,112453,21032.0,https://www.imdb.com/title/tt0112453,112453.jpg
14,113987,10858.0,https://www.imdb.com/title/tt0113987,113987.jpg
15,112760,1408.0,https://www.imdb.com/title/tt0112760,112760.jpg
16,112641,524.0,https://www.imdb.com/title/tt0112641,112641.jpg
17,114388,4584.0,https://www.imdb.com/title/tt0114388,114388.jpg
18,113101,5.0,https://www.imdb.com/title/tt0113101,113101.jpg
19,112281,9273.0,https://www.imdb.com/title/tt0112281,112281.jpg
20,113845,11517.0,https://www.imdb.com/title/tt0113845,113845.jpg
21,113161,8012.0,https://www.imdb.com/title/tt0113161,113161.jpg
22,112722,1710.0,https://www.imdb.com/title/tt0112722,112722.jpg
23,112401,9691.0,https://www.imdb.com/title/tt0112401,112401.jpg
24,114168,12665.0,https://www.imdb.com/title/tt0114168,114168.jpg
25,113627,451.0,https://www.imdb.com/title/tt0113627,113627.jpg
26,114057,16420.0,https://www.imdb.com/title/tt0114057,114057.jpg
27,114011,9263.0,https://www.imdb.com/title/tt0114011,114011.jpg
28,114117,17015.0,https://www.imdb.com/title/tt0114117,114117.jpg
29,112682,902.0,https://www.imdb.com/title/tt0112682,112682.jpg
30,115012,37557.0,https://www.imdb.com/title/tt0115012,115012.jpg
31,112792,9909.0,https://www.imdb.com/title/tt0112792,112792.jpg
32,114746,63.0,https://www.imdb.com/title/tt0114746,114746.jpg
34,112431,9598.0,https://www.imdb.com/title/tt0112431,112431.jpg
36,112818,687.0,https://www.imdb.com/title/tt0112818,112818.jpg
38,113442,33689.0,https://www.imdb.com/title/tt0113442,113442.jpg
39,112697,9603.0,https://www.imdb.com/title/tt0112697,112697.jpg
40,112749,34615.0,https://www.imdb.com/title/tt0112749,112749.jpg
41,114279,31174.0,https://www.imdb.com/title/tt0114279,114279.jpg
42,112819,11443.0,https://www.imdb.com/title/tt0112819,112819.jpg
43,114272,35196.0,https://www.imdb.com/title/tt0114272,114272.jpg
44,113855,9312.0,https://www.imdb.com/title/tt0113855,113855.jpg
45,114681,577.0,https://www.imdb.com/title/tt0114681,114681.jpg
46,113347,11861.0,https://www.imdb.com/title/tt0113347,113347.jpg
47,114369,807.0,https://www.imdb.com/title/tt0114369,114369.jpg
48,114148,10530.0,https://www.imdb.com/title/tt0114148,114148.jpg
49,114916,8391.0,https://www.imdb.com/title/tt0114916,114916.jpg
50,114814,629.0,https://www.imdb.com/title/tt0114814,114814.jpg
52,113819,11448.0,https://www.imdb.com/title/tt0113819,113819.jpg
53,110299,49133.0,https://www.imdb.com/title/tt0110299,110299.jpg
54,112499,26441.0,https://www.imdb.com/title/tt0112499,112499.jpg
